CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/22/2021,20:00,BROOKLYN,11234,40.609867,-73.92239,"(40.609867, -73.92239)",,,5100      AVENUE U,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4410409,Station Wagon/Sport Utility Vehicle,,,,
04/13/2021,18:59,BROOKLYN,11234,40.63021,-73.93294,"(40.63021, -73.93294)",KINGS HIGHWAY,AVENUE I,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4410398,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/22/2021,11:27,BROOKLYN,11234,40.620262,-73.90915,"(40.620262, -73.90915)",,,2039      EAST 70 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4410413,Sedan,,,,
07/18/2021,13:09,BROOKLYN,11234,40.60919,-73.90744,"(40.60919, -73.90744)",,,2522      EAST 66 STREET,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,4439016,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/25/2021,1:41,BROOKLYN,11234,40.635185,-73.92862,"(40.635185, -73.92862)",UTICA AVENUE,GLENWOOD ROAD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4410414,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/24/2021,15:47,BROOKLYN,11234,40.635258,-73.92745,"(40.635258, -73.92745)",KINGS HIGHWAY,GLENWOOD ROAD,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4411125,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/25/2021,6:35,BROOKLYN,11234,40.592636,-73.90362,"(40.592636, -73.90362)",,,2900      FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4410399,Sedan,,,,
04/19/2021,9:52,BROOKLYN,11234,40.61462,-73.928055,"(40.61462, -73.928055)",,,2274      FLATBUSH AVENUE,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,4410967,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,
04/21/2021,16:51,BROOKLYN,11234,40.62154,-73.92424,"(40.62154, -73.92424)",EAST 53 STREET,AVENUE M,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4410970,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
04/25/2021,10:37,BROOKLYN,11234,40.608063,-73.92057,"(40.608063, -73.92057)",,,2560      FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4410406,Sedan,,,,
04/22/2021,20:00,BROOKLYN,11234,40.633545,-73.92907,"(40.633545, -73.92907)",,,4930      KINGS HIGHWAY,0,0,0,0,0,0,0,0,,,,,,4411301,Station Wagon/Sport Utility Vehicle,,,,
04/24/2021,1:32,BROOKLYN,11234,40.60731,-73.9197,"(40.60731, -73.9197)",FLATBUSH AVENUE,HENDRICKSON PLACE,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,4411307,Sedan,,,,
04/20/2021,20:03,BROOKLYN,11234,40.63413,-73.928505,"(40.63413, -73.928505)",KINGS HIGHWAY,UTICA AVENUE,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,4411300,Sedan,Sedan,,,
04/26/2021,16:05,BROOKLYN,11234,40.630688,-73.92521,"(40.630688, -73.92521)",AVENUE I,EAST 53 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4411314,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/21/2021,0:00,BROOKLYN,11234,40.6319,-73.92929,"(40.6319, -73.92929)",,,1196      EAST 49 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4411306,Station Wagon/Sport Utility Vehicle,,,,
04/26/2021,2:25,BROOKLYN,11234,40.630905,-73.920425,"(40.630905, -73.920425)",AVENUE I,EAST 58 STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4411310,Bike,Sedan,,,
04/19/2021,14:20,BROOKLYN,11234,40.634274,-73.92838,"(40.634274, -73.92838)",,,5001      KINGS HIGHWAY,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4411305,Sedan,Sedan,,,
04/25/2021,10:40,BROOKLYN,11234,40.626102,-73.917946,"(40.626102, -73.917946)",,,2093      RALPH AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4411309,Station Wagon/Sport Utility Vehicle,,,,
04/24/2021,11:40,BROOKLYN,11234,40.63336,-73.92928,"(40.63336, -73.92928)",,,4901      KINGS HIGHWAY,0,0,0,0,0,0,0,0,Unspecified,,,,,4411302,Station Wagon/Sport Utility Vehicle,,,,
04/26/2021,20:33,BROOKLYN,11234,40.6109,-73.925224,"(40.6109, -73.925224)",AVENUE T,HENDRICKSON STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4410968,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/24/2021,16:30,BROOKLYN,11234,40.6094,-73.91177,"(40.6094, -73.91177)",,,2610      MILL AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,4411308,Station Wagon/Sport Utility Vehicle,,,,
07/19/2021,17:55,BROOKLYN,11234,40.63419,-73.91927,"(40.63419, -73.91927)",,,5924      GLENWOOD ROAD,1,0,1,0,0,0,0,0,Unspecified,,,,,4439017,Station Wagon/Sport Utility Vehicle,,,,
04/27/2021,18:16,BROOKLYN,11234,40.605072,-73.92988,"(40.605072, -73.92988)",AVENUE U,EAST 33 STREET,,6,0,0,0,0,0,6,0,Accelerator Defective,Unspecified,Unspecified,Unspecified,Unspecified,4411315,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
04/27/2021,20:21,BROOKLYN,11234,40.616894,-73.93933,"(40.616894, -73.93933)",,,1566      EAST 36 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,,4411304,Station Wagon/Sport Utility Vehicle,Bus,Sedan,Station Wagon/Sport Utility Vehicle,
04/25/2021,21:40,BROOKLYN,11234,40.622578,-73.920494,"(40.622578, -73.920494)",,,1268      EAST 57 STREET,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4411989,Sedan,Sedan,,,
04/30/2021,6:00,BROOKLYN,11234,40.61051,-73.923294,"(40.61051, -73.923294)",,,2452      FLATBUSH AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4412465,Bus,Sedan,,,
04/29/2021,0:00,BROOKLYN,11234,,,,Flatbush Ave,Belt parkway,,0,0,0,0,0,0,0,0,Outside Car Distraction,,,,,4411981,Sedan,,,,
04/29/2021,17:10,BROOKLYN,11234,40.63413,-73.928505,"(40.63413, -73.928505)",KINGS HIGHWAY,UTICA AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4411982,Sedan,Sedan,,,
04/30/2021,7:00,BROOKLYN,11234,40.622658,-73.93641,"(40.622658, -73.93641)",,,3860      KINGS HIGHWAY,0,0,0,0,0,0,0,0,Unspecified,,,,,4411988,Sedan,,,,
04/29/2021,21:30,BROOKLYN,11234,40.63039,-73.93006,"(40.63039, -73.93006)",AVENUE I,EAST 48 STREET,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4411987,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
04/28/2021,14:30,BROOKLYN,11234,40.615585,-73.92264,"(40.615585, -73.92264)",,,1722      EAST 54 STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4411983,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/30/2021,12:30,BROOKLYN,11234,40.620285,-73.93438,"(40.620285, -73.93438)",,,2036      FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4412508,E-Bike,Sedan,,,
04/29/2021,22:15,BROOKLYN,11234,40.621216,-73.93539,"(40.621216, -73.93539)",FLATBUSH AVENUE,FLATLANDS AVENUE,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,4411994,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/29/2021,12:40,BROOKLYN,11234,40.631275,-73.91851,"(40.631275, -73.91851)",,,1875      RALPH AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4411984,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/30/2021,23:43,BROOKLYN,11234,40.628464,-73.923065,"(40.628464, -73.923065)",AVENUE J,EAST 55 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4412501,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/30/2021,15:15,BROOKLYN,11234,40.63032,-73.9213,"(40.63032, -73.9213)",FLATLANDS AVENUE,EAST 57 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4412515,Sedan,,,,
04/28/2021,16:00,BROOKLYN,11234,40.635426,-73.92474,"(40.635426, -73.92474)",GLENWOOD ROAD,EAST 54 STREET,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4411980,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/29/2021,17:48,BROOKLYN,11234,40.632847,-73.928375,"(40.632847, -73.928375)",AVENUE H,UTICA AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4411985,Station Wagon/Sport Utility Vehicle,Sedan,Pick-up Truck,,
05/01/2021,0:01,BROOKLYN,11234,40.6224,-73.936646,"(40.6224, -73.936646)",FLATBUSH AVENUE,KINGS HIGHWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4412517,Station Wagon/Sport Utility Vehicle,Sedan,,,
07/17/2021,22:21,BROOKLYN,11234,0,0,"(0.0, 0.0)",,,2875      FLATBUSH AVENUE,1,0,0,0,0,0,1,0,Unspecified,,,,,4439018,Motorcycle,,,,
05/02/2021,1:30,BROOKLYN,11234,40.623978,-73.92063,"(40.623978, -73.92063)",AVENUE L,EAST 57 STREET,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Unspecified,,,,4412502,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/02/2021,19:02,BROOKLYN,11234,40.61692,-73.92152,"(40.61692, -73.92152)",,,5524      AVENUE O,0,0,0,0,0,0,0,0,Unspecified,,,,,4413061,Station Wagon/Sport Utility Vehicle,,,,
05/02/2021,2:33,BROOKLYN,11234,40.592636,-73.90362,"(40.592636, -73.90362)",,,2900      FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4412490,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
05/02/2021,20:45,BROOKLYN,11234,40.625553,-73.93224,"(40.625553, -73.93224)",,,4509      AVENUE K,0,0,0,0,0,0,0,0,Unspecified,,,,,4413060,Station Wagon/Sport Utility Vehicle,,,,
07/19/2021,23:37,BROOKLYN,11234,40.63556,-73.922844,"(40.63556, -73.922844)",FARRAGUT ROAD,EAST 56 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4438665,Motorcycle,Sedan,,,
05/03/2021,14:16,BROOKLYN,11234,40.622204,-73.91645,"(40.622204, -73.91645)",,,6405      AVENUE M,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4413052,Station Wagon/Sport Utility Vehicle,Box Truck,,,
05/03/2021,12:15,BROOKLYN,11234,40.615795,-73.93937,"(40.615795, -73.93937)",AVENUE P,EAST 35 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,4413050,Sedan,Sedan,,,
05/03/2021,12:20,BROOKLYN,11234,40.608204,-73.920715,"(40.608204, -73.920715)",FLATBUSH AVENUE,AVENUE V,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4413051,Sedan,Sedan,,,
05/06/2021,6:30,BROOKLYN,11234,40.592636,-73.90362,"(40.592636, -73.90362)",,,2900      FLATBUSH AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4414715,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/04/2021,23:22,BROOKLYN,11234,40.614227,-73.924446,"(40.614227, -73.924446)",,,1844      EAST 52 STREET,2,0,0,0,0,0,2,0,Other Vehicular,Unspecified,,,,4414175,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/06/2021,12:15,BROOKLYN,11234,40.625652,-73.930534,"(40.625652, -73.930534)",AVENUE K,SCHENECTADY AVENUE,,2,0,0,0,0,0,2,0,Turning Improperly,Unspecified,,,,4414032,Sedan,Sedan,,,
05/07/2021,17:20,BROOKLYN,11234,40.636234,-73.926506,"(40.636234, -73.926506)",,,5207      KINGS HIGHWAY,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4414723,Station Wagon/Sport Utility Vehicle,,,,
05/05/2021,18:18,BROOKLYN,11234,40.61782,-73.94309,"(40.61782, -73.94309)",,,3201      KINGS HIGHWAY,0,0,0,0,0,0,0,0,Unspecified,,,,,4414717,Station Wagon/Sport Utility Vehicle,,,,
05/06/2021,14:55,BROOKLYN,11234,40.592636,-73.90362,"(40.592636, -73.90362)",,,2900      FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4414179,Sedan,Sedan,,,
05/05/2021,12:00,BROOKLYN,11234,40.628387,-73.92431,"(40.628387, -73.92431)",AVENUE J,FLATLANDS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4414183,Sedan,,,,
05/07/2021,16:16,BROOKLYN,11234,40.63413,-73.928505,"(40.63413, -73.928505)",UTICA AVENUE,KINGS HIGHWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4414722,Station Wagon/Sport Utility Vehicle,,,,
05/07/2021,0:40,BROOKLYN,11234,40.63147,-73.91955,"(40.63147, -73.91955)",FLATLANDS AVENUE,EAST 59 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4414173,Bus,,,,
05/04/2021,16:39,BROOKLYN,11234,40.630505,-73.92812,"(40.630505, -73.92812)",UTICA AVENUE,AVENUE I,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4414721,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/06/2021,5:00,BROOKLYN,11234,40.61306,-73.92618,"(40.61306, -73.92618)",FLATBUSH AVENUE,AVENUE S,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4414711,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
05/07/2021,3:55,BROOKLYN,11234,40.63514,-73.92948,"(40.63514, -73.92948)",,,4901      GLENWOOD ROAD,0,0,0,0,0,0,0,0,Other Vehicular,Passing or Lane Usage Improper,,,,4414381,Box Truck,Station Wagon/Sport Utility Vehicle,,,
05/07/2021,12:15,BROOKLYN,11234,40.632282,-73.9283,"(40.632282, -73.9283)",,,1633      UTICA AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4414726,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/05/2021,12:50,BROOKLYN,11234,40.632095,-73.91861,"(40.632095, -73.91861)",RALPH AVENUE,FLATLANDS AVENUE,,5,0,0,0,0,0,5,0,Brakes Defective,Unspecified,,,,4414725,Pick-up Truck,Pick-up Truck,,,
05/05/2021,15:30,BROOKLYN,11234,40.630417,-73.92118,"(40.630417, -73.92118)",,,5701      FLATLANDS AVENUE,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4414178,Sedan,,,,
05/03/2021,19:51,BROOKLYN,11234,40.61497,-73.92844,"(40.61497, -73.92844)",FLATBUSH AVENUE,EAST 48 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4414182,Sedan,Ambulance,,,
05/04/2021,21:05,BROOKLYN,11234,40.62392,-73.9216,"(40.62392, -73.9216)",AVENUE L,EAST 56 STREET,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,4414174,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/05/2021,22:47,BROOKLYN,11234,40.612858,-73.92862,"(40.612858, -73.92862)",,,1953      COLEMAN STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,Unspecified,4414719,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan
05/06/2021,22:24,BROOKLYN,11234,40.618877,-73.908936,"(40.618877, -73.908936)",AVENUE U,EAST 69 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4414181,Sedan,,,,
05/07/2021,2:50,BROOKLYN,11234,40.62788,-73.93251,"(40.62788, -73.93251)",KINGS HIGHWAY,AVENUE J,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,4414724,Box Truck,Sedan,,,
05/08/2021,17:45,BROOKLYN,11234,40.61232,-73.93172,"(40.61232, -73.93172)",FILLMORE AVENUE,EAST 38 STREET,,3,0,0,0,0,0,3,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,4414712,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/09/2021,0:37,BROOKLYN,11234,40.6229,-73.92631,"(40.6229, -73.92631)",,,1534      EAST 51 STREET,4,0,0,0,0,0,4,0,Unspecified,Unspecified,Unspecified,,,4414728,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,
05/09/2021,0:02,BROOKLYN,11234,40.62973,-73.922226,"(40.62973, -73.922226)",FLATLANDS AVENUE,EAST 56 STREET,,2,0,0,0,0,0,2,0,Backing Unsafely,Unspecified,,,,4414511,Sedan,Sedan,,,
05/09/2021,0:00,BROOKLYN,11234,40.635258,-73.92745,"(40.635258, -73.92745)",GLENWOOD ROAD,KINGS HIGHWAY,,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,Unspecified,,,4414713,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/11/2021,23:30,BROOKLYN,11234,40.63413,-73.928505,"(40.63413, -73.928505)",UTICA AVENUE,KINGS HIGHWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4416049,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/11/2021,11:00,BROOKLYN,11234,40.609264,-73.93209,"(40.609264, -73.93209)",AVENUE S,EAST 35 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,4416046,Sedan,Sedan,Sedan,,
05/09/2021,21:30,BROOKLYN,11234,40.63611,-73.926796,"(40.63611, -73.926796)",KINGS HIGHWAY,EAST 52 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4416041,Sedan,Sedan,,,
05/10/2021,0:05,BROOKLYN,11234,40.62344,-73.92932,"(40.62344, -73.92932)",AVENUE L,EAST 48 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,4416044,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Pick-up Truck,
05/11/2021,15:00,BROOKLYN,11234,40.605072,-73.92988,"(40.605072, -73.92988)",AVENUE U,EAST 33 STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4416047,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/12/2021,16:28,BROOKLYN,11234,40.63747,-73.91918,"(40.63747, -73.91918)",RALPH AVENUE,FARRAGUT ROAD,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4417124,Sedan,Sedan,,,
05/10/2021,0:26,BROOKLYN,11234,40.62621,-73.927666,"(40.62621, -73.927666)",UTICA AVENUE,FLATLANDS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4416043,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/12/2021,14:23,BROOKLYN,11234,40.619545,-73.91727,"(40.619545, -73.91727)",AVENUE N,RALPH AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4416048,Tow Truck / Wrecker,Sedan,,,
